P1500,PROCESADOR INTEL PENTIUM GOLD G6400 4.0GHZ 4MB 1200,PROCESADORES,10,1459.00,10
P1501,PROCESADOR INTEL CORE I3 7100 3.9GHZ 1151 3MB BX80677I37100,PROCESADORES,8,2369.00,10
P1502,PROCESADOR INTEL CORE I7 9700K 3.6GHZ 1151 12MB BX80684I79700K,PROCESADORES,4,7949.00,10
P1503,PROCESADOR INTEL CORE I7 10700K 5.1GHZ 16MB 1200 BX8070110700K,PROCESADORES,6,9869.00,10
P1504,PROCESADOR INTEL CORE I7 9700 1151 3.0GHZ BX80684I79700,PROCESADORES,11,7109.00,10
P1505,PROCESADOR INTEL CORE I5 10400 4.3GHZ 12MB 1200 BX8070110400,PROCESADORES,14,4519.00,10
P1506,PROCESADOR INTEL CORE I3 10100 4.3GHZ 6MB 1200 BX8070110100,PROCESADORES,10,2899.00,10
P1507,PROCESADOR INTEL CORE I5 9400 2.9GHZ 1151 9MB BX80684I59400,PROCESADORES,8,4169.00,10
P1508,PROCESADOR INTEL CORE I7 10700 4.8GHZ 1200 BX8070110700,PROCESADORES,13,8259.00,10
P1509,PROCESADOR INTEL CORE I5 9400F 2.9GHZ 1151 SIN GRAFICOS BX80684I59400F,PROCESADORES,12,3439.00,10
P1510,Procesador Intel Core I5 9600K 6Core 3.7GHz 6Mb 1151,PROCESADORES,7,5549.00,10
P1511,PROCESADOR INTEL CORE i7 10700K A 5.1GHZ 16MB 1200 BX8070110700KA,PROCESADORES,5,9979.00,10
P1512,PROCESADOR INTEL CORE I9 9900 3.10GHZ 1151 16MB,PROCESADORES,5,9269.00,10
P1513,PROCESADOR AMD RYZEN 5 5600X 3.7GHZ/32MB/65W/AM4,PROCESADORES,9,7699.00,10
P1514,PROCESADOR AMD RYZEN 7 5800X 5TA GEN AM4 8CORE 16THREADS 3.8GHZ 100-100000063WOF,PROCESADORES,3,11859.00,10
P1515,PROCESADOR AMD RYZEN 5 3600 6CORE 3.6GHZ 65W 7NM SOCKET AM4 100-100000031BOX,PROCESADORES,12,6109.00,10
P1516,"Procesador AMD Ryzen 9 5900X, S-AM4, 3.70GHz, 64MB L3 Cache",PROCESADORES,4,13269.00,10
